name,estimated_hours,prerequisites,skills,concept_overlap_group,module_list,course_description,course_type,industry_relevance,job_market_demand,skill_level,skill_category,core_skills,prerequisite_level,recommended_background,next_courses,target_roles,career_importance,learning_outcomes,practical_application,assessment_method,difficulty_score,num_prerequisites,num_skills,difficulty_Advanced,difficulty_Beginner,difficulty_Intermediate,category_Arts And Humanities,category_Business,category_Computer Science,category_Data Science,category_Health,category_Information Technology,category_Language Learning,category_Math And Logic,category_Personal Development,category_Physical Science And Engineering,category_Social Sciences,goal_role_AI Engineer,goal_role_Backend Developer,goal_role_Data Analyst,goal_role_Data Scientist,goal_role_Full Stack,goal_role_ML Engineer,difficulty,learning_load,skill_density,prerequisite_density,hours_scaled,skills_scaled,prereq_scaled,learning_complexity,estimated_hours_scaled
"Anatomy & Physiology: Regulation, Integration, & Control",-0.4565071630509837,Medical Terminology,"Medical Terminology, Endocrinology, Life Sciences, Biology, Clinical Practices, Neurology, Anatomy, Physiology",5,Not Specified,Introduces key concepts and practical applications of None.,Health,High,High,Intermediate,Health,Medical Terminology; Endocrinology; Life Sciences; Biology; Clinical Practices,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-1.0028528854904413,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,-0.6387367594100293,-0.48132862222907496,0.036,0.3846153846153847,0.3333333333333333,0.0,42.21,0.3846153846153847
Excel Essentials and Beyond,0.8949943065078495,Data Presentation,"Data Presentation, Pivot Tables And Charts, Spreadsheet Software, Excel Formulas, Data-Driven Decision-Making, Dashboard, Data Storytelling, Data Validation, Data Analysis, Data Cleansing, Data Visualization, Data Visualization Software",64,"Navigate Excel with confidence, leveraging essential tools and techniques for efficient data organization and presentati",Introduces key concepts and practical applications of None.,Data Science,High,High,Intermediate,Data Science,Data Presentation; Pivot Tables And Charts; Spreadsheet Software; Excel Formulas; Data-Driven Decision-Making,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.07839011773375393,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.9478919586202414,-0.6030061553887596,0.02,0.7884615384615385,0.5238095238095237,0.0,58.13,0.7884615384615385
Project Execution: Running the Project,-1.743651419773682,Continuous Improvement Process,"Continuous Improvement Process, Data Storytelling, Project Closure, Stakeholder Communications, Data-Driven Decision-Making, Project Controls, Project Management, Team Management, Strategic Thinking, Communication Strategies, Project Management Life Cycle, Meeting Facilitation, Risk Management, Project Documentation, Quality Assessment, Quality Management, Project Risk Management",45,"Implement the key quality management concepts of quality standards, quality planning, quality assurance, and quality con",Introduces key concepts and practical applications of None.,Business,High,High,Beginner,Business,Continuous Improvement Process; Data Storytelling; Project Closure; Stakeholder Communications; Data-Driven Decision-Making,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,1.429943871763998,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,-1.5883399821712885,4.976353901689466,0.125,0.0,0.7619047619047619,0.0,23.24,0.0
Taxation of Multinationals for Everyone,-0.5852215887232535,Income Tax,"Income Tax, Tax Planning, Tax, Corporate Tax, Tax Compliance, International Finance, Tax Laws",74,Participants will gain a comprehensive understanding of corporate tax systems and the OECD's work on the Base Erosion an,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Income Tax; Tax Planning; Tax; Corporate Tax; Tax Compliance,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,ML Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-1.2731636362964902,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.8229696763259507,-0.5317802823196758,0.038,0.34615384615384615,0.2857142857142857,0.0,40.1,0.34615384615384615
Creating Change through Social Entrepreneurship,1.1524231578523891,Advocacy,"Advocacy, Entrepreneurship, Design Thinking, Research and Design, Fundraising, Performance Metric, Stakeholder Engagement, Innovation, Organizational Structure, Social Sciences, Sustainable Development, Verbal Communication Skills, Business Modeling, Community Outreach",58,Not Specified,Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Advocacy; Entrepreneurship; Design Thinking; Research and Design; Fundraising,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,0.6190116193458516,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1.3893090817006704,-0.546619005875735,0.019,0.8653846153846155,0.6190476190476191,0.0,62.34,0.8653846153846155
Transforming Exploratory Data Analysis with AI,0.38013660381877024,Artificial Intelligence,"Artificial Intelligence, Data-Driven Decision-Making, Pandas (Python Package), Generative AI, Automation, Exploratory Data Analysis, OpenAI, Descriptive Statistics, Data Processing, Data Visualization Software, Responsible AI",7,Not Specified,Introduces key concepts and practical applications of None.,Data Science,High,High,Beginner,Data Science,Artificial Intelligence; Data-Driven Decision-Making; Pandas (Python Package); Generative AI; Automation,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Backend Developer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-0.1919206330722949,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.35933579451300235,-0.5347480270308876,0.024,0.6346153846153847,0.4761904761904761,0.0,36.56,0.6346153846153847
Introduction to Risk Management,1.4742092220330638,Probability Distribution,"Probability Distribution, Enterprise Risk Management (ERM), Risk Analysis, Investment Management, Financial Modeling, Portfolio Management, Capital Markets, Market Liquidity, Financial Market, Finance, Financial Regulation, Risk Modeling, Business Risk Management, Risk Management, Operational Risk, Credit Risk",80,"Differentiate between financial and business risks
Differentiate between financial and business risks
Examine the key co",Introduces key concepts and practical applications of None.,Business,High,High,Intermediate,Business,Probability Distribution; Enterprise Risk Management (ERM); Risk Analysis; Investment Management; Financial Modeling,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,AI Engineer,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,1.1596331209579491,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1.9036774940296861,-0.5110060693411931,0.017,0.9615384615384616,0.7142857142857142,0.0,67.13,0.9615384615384616
Anatomy & Physiology: Filtration and Reproduction,-1.743651419773682,Urinalysis,"Urinalysis, Biology, Physiology, Nephrology, Pathology, Gynecology, Anatomy, Urology, Obstetrics And Gynecology",35,Not Specified,Introduces key concepts and practical applications of None.,Health,High,High,Intermediate,Health,Urinalysis; Biology; Physiology; Nephrology; Pathology,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Data Scientist,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,-0.7325421346843926,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,-1.7045674599571718,2.0086091904776437,0.125,0.0,0.38095238095238093,0.0,31.62,0.0
Fundamentals of Red Hat Enterprise Linux,-0.07036388603417419,Red Hat Enterprise Linux,"Red Hat Enterprise Linux, Linux Commands, Linux, Open Source Technology, General Networking, Linux Administration, System Monitoring, File Management, Firewall, Operating System Administration, Package and Software Management, OS Process Management, Unix Shell, User Accounts, Command-Line Interface, Linux Servers",56,"Red Hat Enterprise Linux Command Line Essentials
Red Hat Enterprise Linux Command Line Essentials
Getting Help in Red Ha",Introduces key concepts and practical applications of None.,Information Technology,High,High,Intermediate,Information Technology,Red Hat Enterprise Linux; Linux Commands; Linux; Open Source Technology; General Networking,Basic Knowledge Required,Relevant fundamentals based on prerequisites.,To be recommended,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,3,0.0,1.1596331209579491,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0.2220884537232892,0.0677041493451121,0.029,0.5,0.7142857142857142,0.0,53.29,0.5
Effective Compliance Programs,0.5732082423271749,Strategic Planning,"Strategic Planning, Culture Transformation, Continuous Monitoring, Compliance Training, Psychology, Compliance Management, Industrial and Organizational Psychology, Ethical Standards And Conduct, Procedure Development, Internal Communications",23,"Recognize strategies for building a culture of compliance within an organization
Recognize strategies for building a cul",Introduces key concepts and practical applications of None.,Business,High,High,Beginner,Business,Strategic Planning; Culture Transformation; Continuous Monitoring; Compliance Training; Psychology,Not Specified,Relevant fundamentals based on prerequisites.,To be recommended,Full Stack,Important,Apply None concepts to practical tasks.,Coding Exercises,Coding Assignment,1,0.0,-0.4622313838783437,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.4491029741646529,-0.6564255601905724,0.023,0.6923076923076924,0.42857142857142855,0.0,37.34,0.6923076923076924
